Time resolution is 1 ps
time | op  |  a   |  b   | Cin |    y   | brw | z | p | inv
                   0 | 1   |  10 |  20 |  0  |  30    |  0  | 0 | 0 |  0
               10000 | 2   | 200 | 100 |  1  |  45    |  0  | 0 | 0 |  0
               20000 | 3   |  50 |  75 |  0  | 231    |  1  | 0 | 0 |  0
               30000 | 4   | 255 |   0 |  0  |   0    |  0  | 1 | 0 |  0
               40000 | 5   |   0 |   0 |  0  | 255    |  1  | 0 | 0 |  0
               50000 | 6   | 170 | 204 |  0  | 136    |  0  | 0 | 0 |  0
               60000 | 7   | 240 |   0 |  0  |  15    |  0  | 0 | 0 |  0
               70000 | 8   | 129 |   0 |  0  |   3    |  0  | 0 | 0 |  0
               80000 | 9   | 129 |   0 |  0  | 192    |  0  | 0 | 0 |  0
               90000 | 15   | 123 |  45 |  0  |   0    |  0  | 1 | 0 |  1
$stop called at time : 100 ns : File "C:/Users/Enoch/Git/Digital-Design-Learning/alu/alu.srcs/sim_1/new/alu_tb.v" Line 58
