Time resolution is 1 ps
Time 25000: LFSR = 1001
Time 35000: LFSR = 2002
Time 45000: LFSR = 4005
Time 55000: LFSR = 800b
Time 65000: LFSR = 0016
Time 75000: LFSR = 002c
Time 85000: LFSR = 0058
Time 95000: LFSR = 00b0
Time 105000: LFSR = 0160
Time 115000: LFSR = 02c0
Time 125000: LFSR = 0580
Time 135000: LFSR = 0b01
Time 145000: LFSR = 1603
Time 155000: LFSR = 2c07
Time 165000: LFSR = 580f
Time 175000: LFSR = b01e
Time 185000: LFSR = 603d
Time 195000: LFSR = c07a
Time 205000: LFSR = 80f5
Time 215000: LFSR = 01ea
Time 225000: LFSR = 03d4
Time 235000: LFSR = 07a8
Time 245000: LFSR = 0f51
Time 255000: LFSR = 1ea2
Time 265000: LFSR = 3d44
Time 275000: LFSR = 7a89
Time 285000: LFSR = f513
Time 295000: LFSR = ea27
Time 305000: LFSR = d44f
Time 315000: LFSR = a89e
Time 325000: LFSR = 513c
Time 335000: LFSR = a279
Time 345000: LFSR = 44f3
Time 355000: LFSR = 89e6
Time 365000: LFSR = 13cd
Time 375000: LFSR = 279a
Time 385000: LFSR = 4f34
Time 395000: LFSR = 9e69
Time 405000: LFSR = 3cd2
Time 415000: LFSR = 79a5
Time 425000: LFSR = f34b
Time 435000: LFSR = e696
Time 445000: LFSR = cd2d
Time 455000: LFSR = 9a5b
Time 465000: LFSR = 34b7
Time 475000: LFSR = 696e
Time 485000: LFSR = d2dd
Time 495000: LFSR = a5bb
Time 505000: LFSR = 4b76
Time 515000: LFSR = 96ec
$stop called at time : 665 ns : File "C:/Users/Enoch/Git/Digital-Design-Learning/linear_feedback_shift_register/linear_feedback_shift_register.srcs/sim_1/new/lfsr_16_tb.v" Line 48
